arousalScore,trueArousal
-0.5000,-0.1515
-0.1798,0.0000
-1.0000,-0.1563
0.0221,-0.0758
-0.6601,-0.0867
-0.8178,-0.0758
-0.8178,-0.2433
-0.2957,-0.1563
-0.4534,-0.0758
0.1577,0.0000
-1.0000,-0.2543
0.8423,0.1812
-0.2957,-0.2498
1.0000,0.0115
-0.3154,-0.2430
-1.0000,-0.2605
-0.6601,-0.3193
0.1774,-0.1628
-0.3154,-0.2430
-0.2933,-0.2501
-0.8178,-0.2501
-0.8423,-0.4931
-0.8178,-0.1630
-0.6601,-0.2498
0.6846,0.0920
-0.6929,-0.3215
-1.0000,-0.0823
-0.5905,-0.2457
0.3959,0.5000
0.3959,0.4242
0.5905,0.2658
-1.0000,-0.3255
0.8054,0.2658
0.7030,0.1812
0.3054,-0.0758
-0.5905,-0.1625
0.8054,0.8324
-0.1880,-0.4931
-0.1964,0.3485
0.3959,-0.1625
0.6107,0.1004
0.0101,-0.2383
0.8054,-0.0758
0.2869,0.0047
-0.5905,-0.2496
0.8054,0.3485
0.5905,0.5110
-0.3976,0.0115
0.1409,-0.3258
-0.0014,-0.2388
-0.8565,-0.4126
0.4292,0.0000
-0.5701,0.0110
0.4266,0.2658
-0.2844,-0.1743
-0.1428,-0.0871
-0.7136,-0.2386
0.1435,-0.3188
-0.7129,0.1694
0.2136,0.0000
0.4280,0.0758
0.5715,0.0000
-0.2143,0.0000
0.1428,-0.0758
-0.2830,-0.0758
0.5708,0.0982
0.7136,0.1694
0.0000,-0.0758
1.0000,-0.0758
-0.1545,-0.0803
0.6947,0.1812
-0.3455,-0.0758
0.5421,0.7567
0.1947,0.1581
0.5421,0.1747
0.5403,0.6809
0.5000,-0.0796
-0.0365,-0.2386
1.0000,0.0074
1.0000,0.4305
-0.1526,0.0942
-0.6545,-0.1625
-0.2294,0.2570
-0.3230,-0.1630
0.5000,0.1694
0.3035,0.0069
0.5363,0.2498
0.2160,0.1787
0.2672,0.0867
-0.3734,-0.1628
-0.5000,-0.0690
-0.3734,0.2611
-0.1770,0.0871
1.0000,0.5175
0.5168,0.0066
0.6797,0.0113
-0.5699,-0.2496
0.6965,-0.3306
0.8398,0.3328
0.0195,0.0869
-0.3734,-0.0871
0.2160,0.2522
0.5522,0.0000
-0.4056,0.3485
-0.2028,0.2567
0.6325,0.1630
0.2028,-0.0110
0.5281,0.5000
0.1325,0.0805
0.0000,0.2502
0.5000,0.3437
0.0944,-0.0003
-0.1225,0.2570
0.2450,0.0000
-0.6505,-0.5003
0.0422,-0.0044
-0.5803,-0.4126
0.1084,0.0000
0.5803,0.1743
-0.1562,-0.0872
0.9156,0.0800
-0.1562,-0.0872
-0.3250,0.0871
-0.2406,-0.0758
0.0844,0.1676
0.8311,0.0113
-0.2594,-0.0872
-0.0905,0.1676
0.5000,0.0000
-0.0061,0.0115
0.4812,0.1743
-0.3250,0.0110
0.7467,0.1699
0.1689,-0.1628
0.2655,0.1785
0.0844,-0.1630
0.2655,0.7452
0.6868,-0.0758
0.7788,-0.2388
0.6868,-0.2320
0.8894,-0.1563
-0.7788,-0.2501
0.7026,0.0000
0.4237,0.0000
0.5763,0.0871
-0.5577,-0.2455
-0.0605,-0.2386
0.2026,0.0047
0.0605,0.0000
0.8894,0.4242
-0.1868,0.0000
-0.4080,-0.3253
-0.4843,-0.0758
-0.5868,-0.3346
1.0000,0.3375
1.0000,0.3375
1.0000,-0.3255
0.2066,-0.0803
-0.7934,-0.4926
-0.5868,-0.7496
-0.1890,-0.2383
0.7934,-0.0758
1.0000,0.3437
-0.7934,-0.4126
0.2088,-0.3258
-0.5868,-0.3258
1.0000,0.2504
1.0000,0.3370
-0.8053,0.2498
0.2431,0.3372
-0.6215,0.0867
0.5138,0.2498
-0.0109,-0.0758
-0.7569,-0.0827
-0.1324,0.6740
0.0731,0.0115
0.7569,0.3372
0.0622,0.1584
0.0593,0.0000
0.1354,-0.0758
0.8785,0.0069
0.3785,-0.0758
0.4407,-0.0758
0.0484,-0.0758
0.0109,-0.1674
-0.0858,-0.4020
0.4860,-0.0758
0.1143,-0.2320
-0.7001,-0.2455
0.7859,0.1812
-0.2999,-0.2433
0.5073,-0.1678
-0.2859,0.0000
0.7999,-0.0805
0.0000,-0.0758
0.5858,0.0872
-0.1928,-0.0827
-0.0785,-0.0805
0.5073,0.3437
-1.0000,-0.8324
-0.8264,-0.3213
-0.8410,-0.3191
1.0000,-0.1630
0.1819,-0.3306
-0.0146,-0.1743
-0.6736,-0.3306
0.0063,-0.0872
-0.0020,-0.2503
-1.0000,-0.5982
-0.8410,-0.5110
0.0083,-0.0872
-0.8410,-0.2433
-0.4837,-0.3368
-0.3709,-0.0051
-0.1291,-0.0805
-0.7079,0.1630
0.7079,0.0000
0.5843,0.1743
-0.7419,-0.2499
0.0951,0.0827
0.0951,0.0920
-0.0680,-0.2498
-0.4497,0.4202
0.7921,-0.0758
0.3261,0.1738
-0.5788,-0.3301
0.0081,0.2570
0.6613,0.1743
0.1918,-0.1669
-0.3306,0.4242
0.5592,0.1743
0.6326,0.6738
0.8531,0.9195
-0.2061,0.0871
-0.3163,0.3437
0.3531,0.0113
-0.8531,0.2680
-0.8531,0.1743
0.8531,0.4308
0.0368,0.3485
